Area Name,Illiterate,Graduate & above,Total - Population,Percentage Illiterate,Percentage Graduate & above
State - JAMMU & KASHMIR,3378518,385463,12541302,26.93913279,3.073548504
State - HIMACHAL PRADESH,963742,267936,6864602,14.039299,3.903154181
State - PUNJAB,4886265,979525,27743338,17.61239041,3.530667434
State - CHANDIGARH,175200,91276,1055450,16.59955469,8.648064806
State - UTTARAKHAND,1929236,525301,10086292,19.12730665,5.208068535
State - HARYANA,5055536,1130659,25351462,19.94179271,4.459936078
State - NCT OF DELHI,2801081,1360909,16787941,16.6850777,8.106467613
State - RAJASTHAN,18451857,1830905,68548437,26.91798356,2.67096535
State - UTTAR PRADESH,54225755,5741485,199812341,27.13834127,2.873438633
State - BIHAR,34832047,1514153,104099452,33.46035578,1.454525428
State - SIKKIM,92891,21156,610577,15.21364218,3.464919249
State - ARUNACHAL PRADESH,406474,32355,1383727,29.37530308,2.338250247
State - NAGALAND,463591,58818,1978502,23.43141427,2.972855221
State - MANIPUR,615376,104145,2855794,21.54833297,3.646796653
State - MIZORAM,213249,27458,1097206,19.43563925,2.502538265
State - TRIPURA,587547,60158,3673917,15.99238633,1.637434923
State - MEGHALAYA,893825,52673,2966889,30.12667478,1.77536133
State - ASSAM,7960345,487196,31205576,25.5093673,1.561246618
State - WEST BENGAL,17409559,2184991,91276115,19.07351009,2.393825592
State - JHARKHAND,9280276,696376,32988134,28.13216413,2.110989364
State - ODISHA,8674889,914641,41974218,20.66718432,2.179054295
State - CHHATTISGARH,5774295,540396,25545198,22.60422879,2.115450426
State - MADHYA PRADESH,18090873,1691227,72626809,24.90935957,2.328653872
State - GUJARAT,11728665,1678815,60439692,19.40556712,2.777669681
State - DAMAN & DIU,39385,7386,243247,16.19136104,3.036419771
State - DADRA & NAGAR HAVELI,79877,11399,343709,23.23971732,3.316468291
State - MAHARASHTRA,18160016,4657351,112374333,16.16028813,4.144497125
State - ANDHRA PRADESH,16690008,3441176,84580777,19.73262553,4.06850838
State - KARNATAKA,10894254,2276412,61095297,17.83157548,3.726002019
State - GOA,178887,70876,1458545,12.264757,4.85936327
State - LAKSHADWEEP,8337,1482,64473,12.93099437,2.298636639
State - KERALA,3733640,1407626,33406061,11.1765347,4.213684457
State - TAMIL NADU,9843472,3285569,72147030,13.64362746,4.553990649
State - PUDUCHERRY,163626,81425,1247953,13.11155148,6.524684824
State - ANDAMAN & NICOBAR ISLANDS,50999,13071,380581,13.40030112,3.434485694
